ID,Área,Tarea,Prioridad,Responsable,Estado,Notas
S-01,Seguridad,Configurar MP_WEBHOOK_SECRET en MP Dashboard → Notificaciones → Webhooks,ALTA,Edgar,⬜ Pendiente,Ir a mercadopago.com.ar/developers → Tu app → Notificaciones → copiar secret → wrangler secret put MP_WEBHOOK_SECRET --name maxicompra-api
S-02,Seguridad,Verificar dominio maxicompra.cl en Resend (DNS: DKIM + SPF + DMARC),ALTA,Edgar,⬜ Pendiente,Ir a resend.com → Domains → Add Domain → maxicompra.cl → copiar registros DNS → pegarlo en Cloudflare
S-03,Seguridad,Confirmar que RESEND_API_KEY está seteado en wrangler secrets,ALTA,Edgar,⬜ Pendiente,wrangler secret list --name maxicompra-api para verificar
S-04,Seguridad,CSP usa unsafe-inline + unsafe-eval (reduce protección XSS),BAJA,Nosotros,⬜ Pendiente,Requiere refactor de todo el JS inline a archivos externos. Para sesión futura.
S-05,Seguridad,Admin sin 2FA (segundo factor de autenticación),BAJA,Nosotros,⬜ Pendiente,Baja prioridad hasta que el sitio esté con más tráfico real
P-01,Pagos,MP_WEBHOOK_SECRET sin configurar — cualquiera puede forjar webhooks,ALTA,Edgar,⬜ Pendiente,Ver S-01
P-02,Pagos,Webpay Plus: botón visible pero sin integración real,ALTA,Nosotros,✅ Corregido,Marcado como Próximamente — deshabilitado visualmente
P-03,Pagos,Comprobante de transferencia: subir foto y notificar a Edgar,ALTA,Nosotros,✅ Corregido,Nuevo feature implementado en esta sesión
P-04,Pagos,Sin modo sandbox/testing toggle para Mercado Pago,MEDIA,Edgar,⬜ Pendiente,Edgar debe crear cuenta test buyer en MP Developers Panel
P-05,Pagos,Webpay Plus (Transbank): integración real si Edgar la quiere,BAJA,Ambos,⬜ Pendiente,Requiere contrato Transbank (~USD 200/mes). Edgar decide.
E-01,Emails,Email de pago_pending (MP pago en proceso) sin template,MEDIA,Nosotros,⬜ Pendiente,Agregar template para status payment_pending
E-02,Emails,Verificar que RESEND_API_KEY esté activo y dominio verificado,ALTA,Edgar,⬜ Pendiente,Ver S-02 y S-03
E-03,Emails,Email a Edgar cuando se sube comprobante de transferencia,ALTA,Nosotros,✅ Corregido,Enviado via Resend al confirmarse el upload del comprobante
B-01,Backend,Bug en stats: shipped siempre aparece en 0,ALTA,Nosotros,✅ Corregido,shipped se contaba dentro de paid — separado correctamente
B-02,Backend,Búsqueda en admin solo busca en la fecha seleccionada,MEDIA,Nosotros,⬜ Pendiente,Para sesión futura: búsqueda cross-fecha requiere scan de múltiples keys KV
B-03,Backend,Stats: N+N queries KV para 30 días (podría ser lento),BAJA,Nosotros,⬜ Pendiente,Optimizable con índice agregado. No urgente.
B-04,Backend,Fechas KV en UTC — pedidos medianoche Chile quedan en fecha incorrecta,BAJA,Nosotros,⬜ Pendiente,Ajustar a UTC-4 (Chile). Afecta solo pedidos entre 00:00-04:00.
B-05,Backend,Endpoint de comprobante (POST + GET),ALTA,Nosotros,✅ Corregido,POST /api/order/:id/comprobante — GET /api/comprobante/:orderId (admin)
F-01,Frontend,Bug: updateCkSummary duplicada — JS usa versión vieja con lógica de cupones,ALTA,Nosotros,✅ Corregido,Eliminada la segunda definición en línea ~3974
F-02,Frontend,JS de cupones dead code: VALID_COUPONS + applyCoupon + _applyCouponLocal,ALTA,Nosotros,✅ Corregido,Bloque completo eliminado
F-03,Frontend,CSS de cupones dead code: .ck-coupon-row etc,BAJA,Nosotros,✅ Corregido,Estilos eliminados
F-04,Frontend,Mobile <380px: hero title se corta,MEDIA,Nosotros,⬜ Pendiente,Reducir font-size en breakpoint muy pequeño
F-05,Frontend,Sin lazy loading en imágenes de productos (656 productos),MEDIA,Nosotros,⬜ Pendiente,Agregar loading="lazy" en img tags de productCardHTML
F-06,Frontend,Wishlist no persiste al recargar página,BAJA,Nosotros,⬜ Pendiente,Guardar wishlist en localStorage
F-07,Frontend,Sin página de Política de Privacidad,MEDIA,Edgar+Nosotros,⬜ Pendiente,Requerimiento legal ley 19.628 Chile. Edgar provee el texto.
F-08,Frontend,Sin página de Términos y Condiciones,MEDIA,Edgar+Nosotros,⬜ Pendiente,Edgar provee el texto base.
F-09,Frontend,Sin página de Devoluciones/Garantías,MEDIA,Edgar+Nosotros,⬜ Pendiente,Texto base que Edgar defina
A-01,Admin,Bug: shipped siempre aparece en 0 en estadísticas,ALTA,Nosotros,✅ Corregido,Ver B-01
A-02,Admin,Sin gestión de productos desde admin (656 hardcodeados en HTML),ALTA,Nosotros,⬜ Pendiente,Feature grande — sesión futura dedicada
A-03,Admin,Búsqueda solo dentro de la fecha activa — no cross-histórico,MEDIA,Nosotros,⬜ Pendiente,Sesión futura
A-04,Admin,Sin notificación de nuevos pedidos en tiempo real,MEDIA,Nosotros,⬜ Pendiente,Requiere WebSocket o polling. Sesión futura.
A-05,Admin,Ver comprobante de transferencia en detalle de pedido,ALTA,Nosotros,✅ Corregido,Botón Ver comprobante en detail modal si existe
A-06,Admin,Stats no separa ingresos por método de pago,BAJA,Nosotros,⬜ Pendiente,Sesión futura
D-01,Deploy,Cloudflare Pages auto-deploy dejó de funcionar,ALTA,Nosotros,✅ Corregido,Deploy manual forzado con wrangler pages deploy
D-02,Deploy,Configurar auto-deploy correctamente (webhook GitHub→CF),MEDIA,Edgar+Nosotros,⬜ Pendiente,Revisar en CF Dashboard → Pages → maxicompra → Settings → Builds
